IDClt;nomClt;prenomClt;adresseClt;villeClt;etatClt;depClt;regClt;telClt;adresseCmpltClt;regionClt;paysClt
51;HAMILTON;Mary;235 Brooks Street;HOUSTON;TX;;4;+1 7139759801;235 Brooks Street HOUSTON TX;Sud;USA
52;KEEGAN;Fred;43 Beach Parkway;MALIBU;CA;;1;+1 8082032100;43 Beach Parkway MALIBU CA;Ouest;USA
53;WRIGHT;Mark;666 Sun Drive;HOLLYWOOD;CA;;1;+1 2139737305;666 Sun Drive HOLLYWOOD CA;Ouest;USA
54;THOMAS;Steve;123 Lotus Road;HOLLYWOOD;CA;;1;+1 2139435303;123 Lotus Road HOLLYWOOD CA;Ouest;USA
55;JONES;Claire;89 Beach Avenue;SANTA MONICA;CA;;1;+1 7143334307;89 Beach Avenue SANTA MONICA CA;Ouest;USA
56;EDWARDS;Jane;2510 East Avenue;NEW YORK;NY;;3;+1 3156831300;2510 East Avenue NEW YORK NY;Est;USA
57;JAMES;Bob;234 Melrose Blvd;HOLLYWOOD;CA;;1;+1 2139236308;234 Melrose Blvd HOLLYWOOD CA;Ouest;USA
58;WRIGHT;Sarah;645 Sunset Blvd;DALLAS;TX;;4;+1 2148833304;645 Sunset Blvd DALLAS TX;Sud;USA
59;CLARK;Peter;1250 Brooklyn Avenue;NEW YORK;NY;;3;+1 3158937300;1250 Brooklyn Avenue NEW YORK NY;Est;USA
60;PETERS;Lou;2812 W86 Street;NEW YORK;NY;;3;+1 3152638300;2812 W86 Street NEW YORK NY;Est;USA
61;LEWIS;Mike;3035 Center Green Drive;BOSTON;MA;;3;+1 6171238301;3035 Center Green Drive BOSTON MA;Est;USA
62;MURPHY;Pat;552 Princess Street;HOLLYWOOD;CA;;1;+1 2139735300;552 Princess Street HOLLYWOOD CA;Ouest;USA
63;GRANT;Ted;440 Oakmead Parkway;HOUSTON;TX;;4;+1 7130335303;440 Oakmead Parkway HOUSTON TX;Sud;USA
64;CARTER;Sue;65 Andover Street;BOSTON;MA;;3;+1 6175739302;65 Andover Street BOSTON MA;Est;USA
65;DANIELS;Janet;12 Palisades Drive;DETROIT;MI;;2;+1 3130531300;12 Palisades Drive DETROIT MI;Nord;USA
66;SMITH;John;7525 West End Avenue;NEW YORK;NY;;3;+1 3159331301;7525 West End Avenue NEW YORK NY;Est;USA
67;HARRIS;Ed;45 High Street;DALLAS;TX;;4;+1 2149633300;45 High Street DALLAS TX;Sud;USA
68;ROBERTS;Debbie;112 Seaside Avenue;MALIBU;CA;;1;+1 8085739302;112 Seaside Avenue MALIBU CA;Ouest;USA
69;THOMSON;Kim;224 Redondo Drive;DETROIT;MI;;2;+1 3132749300;224 Redondo Drive DETROIT MI;Nord;USA
70;ANDERSON;Dave;2442 Meadowdale Lane;BOSTON;MA;;3;+1 6175632104;2442 Meadowdale Lane BOSTON MA;Est;USA
71;KING;Hilary;125 Broadway Avenue;DALLAS;TX;;4;+1 4084724536;125 Broadway Avenue DALLAS TX;Sud;USA
72;BARRY;John;3800 North Queen View;DALLAS;TX;;4;+1 2141232300;3800 North Queen View DALLAS TX;Sud;USA
73;BLOFELD;Richard;151 Mississippi Drive;DALLAS;TX;;4;+1 2149299200;151 Mississippi Drive DALLAS TX;Sud;USA
74;CONNOR;Pamela;2356 Ocean Drive;MALIBU;CA;;1;+1 8084537300;2356 Ocean Drive MALIBU CA;Ouest;USA
75;GILBERT;Tom;423 Kenyon Drive;BOSTON;MA;;3;+1 6179038750;423 Kenyon Drive BOSTON MA;Est;USA
76;HOGGS;Brian;2 Hollywood Blvd;MALIBU;CA;;1;+1 8082565670;2 Hollywood Blvd MALIBU CA;Ouest;USA
77;WINSTON;Gary;15 Broad Street;BOSTON;MA;;3;+1 6175741740;15 Broad Street BOSTON MA;Est;USA
78;SAUBER;Paul;99 Walker Street;HOUSTON;TX;;4;+1 7137329430;99 Walker Street HOUSTON TX;Sud;USA
79;PADING;Micheal;101 University Avenue;SANTA MONICA;CA;;1;+1 7141659208;101 University Avenue SANTA MONICA CA;Ouest;USA
80;Suzuki;Taro;1 Chome-10-1 Kabukicho;Shinjuku;JP-13;;6;+88 0312345678;1 Chome-10-1 Kabukicho Shinjuku JP-13;Kant≈ç;JAPAN
81;Tanaka;Yoko;2 Chome-8-1 Nishishinjuku;Shinjuku;JP-13;;6;+88 0387654321;2 Chome-8-1 Nishishinjuku Shinjuku JP-13;Kant≈ç;JAPAN
82;Watanabe;Ken;1-1 Yoyogi, Shibuya City;Shibuya;JP-11;;6;+88 0309876543;1-1 Yoyogi, Shibuya City Shibuya JP-11;Kant≈ç;JAPAN
83;Kobayashi;Miho;4 Chome-2-8 Shibakoen;Minato City;JP-12;;6;+88 0321098765;4 Chome-2-8 Shibakoen Minato City JP-12;Kant≈ç;JAPAN
84;Yamamoto;Hiroshi;1-1-2 Oshiage, Sumida City;Sumida;JP-14;;6;+88 0332109876;1-1-2 Oshiage, Sumida City Sumida JP-14;Kant≈ç;JAPAN
85;CARRE;Christine;5 rue Mouffetard;Lalonquette;;93;11;+33 0155236554;5 rue Mouffetard Lalonquette;Occitanie;FRANCE
86;AYMERAUD;GisËle;8 boulevard des Capucines;Gerderest;;94;11;+33 0143236554;8 boulevard des Capucines Gerderest;Occitanie;FRANCE
87;MOREAU;Pierre;10 avenue Foch;SÈby;;95;11;+33 0143236513;10 avenue Foch SÈby;Occitanie;FRANCE
88;LEGEAIS;Michel;10 rue du CouÈdic;Simacourbe;;18;24;+33 0245654312;10 rue du CouÈdic Simacourbe;Centre-Val de Loire;FRANCE
89;BESSE;SÈverine;6 rue Saint-Sulpice;Saint-Jean-Poudge;;28;24;+33 0143237654;6 rue Saint-Sulpice Saint-Jean-Poudge;Centre-Val de Loire;FRANCE
90;MARTIN;Jean;3 Place Royale;Burosse-Mendousse;;36;24;+33 0240897656;3 Place Royale Burosse-Mendousse;Centre-Val de Loire;FRANCE
91;Dupont;Augustin;7, boulevard SÈbastien Vasseur;Poey-de-Lescar;;37;24;+33 0479253311;7, boulevard SÈbastien Vasseur Poey-de-Lescar;Centre-Val de Loire;FRANCE
92;Lagarde;Jeanne;75, rue Ramos;SÈvignacq;;41;24;+33 0147492734;75, rue Ramos SÈvignacq;Centre-Val de Loire;FRANCE
93;Vidal;Laetitia;86, avenue Adrien Bazin;Mouhous;;45;24;+33 0176729194;86, avenue Adrien Bazin Mouhous;Centre-Val de Loire;FRANCE
94;Mallet;VÈronique;37, chemin de Richard;Anoye;;21;27;+33 0797856872;37, chemin de Richard Anoye;Normandie;FRANCE
95;Lamy;FrÈdÈrique;35, chemin Colin;LonÁon;;25;27;+33 0255758643;35, chemin Colin LonÁon;Normandie;FRANCE
96;Muller;Roland;95, rue de Adam;Coublucq;;39;27;+33 0181835299;95, rue de Adam Coublucq;Normandie;FRANCE
97;Becker;Paul;rue HÈlËne Valentin;GarlËde-Mondebat;;58;27;+33 0474441998;rue HÈlËne Valentin GarlËde-Mondebat;Normandie;FRANCE
98;Bigot;FrÈdÈrique;8, rue Valentine Lebon;Larreule;;70;27;+33 0480499638;8, rue Valentine Lebon Larreule;Normandie;FRANCE
99;Brunel;Raymond;48, rue de Foucher;Lalongue;;71;27;+33 0351798776;48, rue de Foucher Lalongue;Normandie;FRANCE
100;Maillet;Martin;4, avenue de Legros;Baleix;;89;27;+33 0432086911;4, avenue de Legros Baleix;Normandie;FRANCE
101;Albert;ZoÈ;10, rue de Giraud;EscurËs;;90;27;+33 0624553555;10, rue de Giraud EscurËs;Normandie;FRANCE
102;Pierre;ValÈrie;avenue Alexandria Petit;Miossens-Lanusse;;14;28;+33 0438785802;avenue Alexandria Petit Miossens-Lanusse;Centre-Val de Loire;FRANCE
103;Grenier;Luc;9, avenue de Benard;Lasclaveries;;27;28;+33 0612721370;9, avenue de Benard Lasclaveries;Centre-Val de Loire;FRANCE
104;Bodin;Nicole;985, chemin Jean Guillaume;Viellenave-d'Arthez;;50;28;+33 0484715401;985, chemin Jean Guillaume Viellenave-d'Arthez;Centre-Val de Loire;FRANCE
105;Collin;Nicolas;rue Lucie Guillaume;Mazerolles;;61;28;+33 0160571824;rue Lucie Guillaume Mazerolles;Centre-Val de Loire;FRANCE
106;Bourdon;Margaud;30, rue de Rossi;EscoubËs;;76;28;+33 0490283469;30, rue de Rossi EscoubËs;Centre-Val de Loire;FRANCE
107;Chauvet;Arthur;4, rue Simone Salmon;Samsons-Lion;;2;32;+33 0366571183;4, rue Simone Salmon Samsons-Lion;Occitanie;FRANCE
108;Picard;Charlotte;69, rue Moulin;Bougarber;;59;32;+33 0158809118;69, rue Moulin Bougarber;Occitanie;FRANCE
109;Gay;Victoire;74, rue Bernard Laroche;Uzan;;60;32;+33 0667509622;74, rue Bernard Laroche Uzan;Occitanie;FRANCE
110;Masse;ThÈophile;26, boulevard Alex Richard;Monassut-Audiracq;;62;32;+33 0476506458;26, boulevard Alex Richard Monassut-Audiracq;Occitanie;FRANCE
